01,"PORTLAND, ME"
02,"ST. ALBANS, VT"
04,"BOSTON, MA"
05,"PROVIDENCE, RI"
07,"OGDENSBURG, NY"
09,"BUFFALO, NY"
10,"NEW YORK CITY, NY"
11,"PHILADELPHIA, PA"
13,"BALTIMORE, MD"
14,"NORFOLK, VA"
15,"CHARLOTTE, NC"
16,"CHARLESTON, SC"
17,"SAVANNAH, GA"
18,"TAMPA, FL"
19,"MOBILE, AL"
20,"NEW ORLEANS, LA"
21,"PORT ARTHUR, TX"
23,"LAREDO, TX"
24,"EL PASO, TX"
25,"SAN DIEGO, CA"
26,"NOGALES, AZ"
27,"LOS ANGELES, CA"
28,"SAN FRANCISCO, CA"
29,"COLUMBIA-SNAKE, OR"
30,"SEATTLE, WA"
31,"ANCHORAGE, AK"
32,"HONOLULU, HI"
33,"GREAT FALLS, MT"
34,"PEMBINA, ND"
35,"MINNEAPOLIS, MN"
36,"DULUTH, MN"
37,"MILWAUKEE, WI"
38,"DETROIT, MI"
39,"CHICAGO, IL"
41,"CLEVELAND, OH"
45,"ST LOUIS, MO"
46,"NEWARK, NJ"
47,"JAMAICA, NY"
49,"SAN JUAN, PR"
51,VIRGIN ISLANDS OF THE UNITED STATES
52,"MIAMI, FL"
53,"HOUSTON-GALVESTON, TX"
54,"WASHINGTON, DC"
55,"DALLAS/FT. WORTH, TX"
